days-old,area,level-simplified,sector,target-size
5,Europe,Individual,Hospitality,"450,000"
9,Europe,Local,Agriculture,
13,Europe,Local,Agriculture,
11,Europe,Local,Agriculture,
3,Europe,Local,All,
7,Europe,Local,Basic Necessities,
21,Europe,Local,Healthcare,
15,Europe,Local,Healthcare,
24,Europe,Local,Healthcare,
6,Europe,Local,Hospitality,65
9,Europe,Local,Hygiene,
21,Europe,National,Agriculture,
14,Europe,National,All,
8,Europe,National,Healthcare,
5,Europe,National,Healthcare,
3,Europe,National,Healthcare,
,Europe,National,Healthcare,
24,Europe,National,Healthcare,100
15,Europe,National,Healthcare,
14,Europe,National,Healthcare,
13,Europe,National,Healthcare,30
10,Europe,National,Healthcare,2800
9,Europe,National,Immigration,
3,Europe,National,Immigration,
10,Europe,National,Immigration,
21,Europe,National,Information,
9,North America,Individual,Healthcare,
,North America,Individual,Agriculture,
,North America,Individual,All,
,North America,Individual,All,
22,North America,Local,Healthcare,
,North America,Local,Healthcare,
40,North America,Local,Healthcare,
7,North America,Local,All,
3,North America,Local,Immigration,"40,000"
,North America,Local,All,
22,North America,National,Agriculture,
15,North America,National,Healthcare,
9,North America,Local,Healthcare,
6,North America,Local,Healthcare,
4,North America,Local,Technology,
2,North America,Local,Economy,
,North America,Local,Healthcare,
19,North America,Local,Healthcare,
19,North America,Local,Healthcare,